artists,track_name,popularity,duration_ms,explicit,danceability,energy,valence,tempo,track_genre
Horrorpops,Ghouls,36,126640,False,0.57,0.978,0.762,109.458,rock
GAYLE,abcdefu,0,168601,True,0.695,0.54,0.415,121.932,rock
Las Pastillas del Abuelo,Hasta Acá Nos Ayudó Dios!,48,378386,False,0.622,0.65,0.638,148.004,rock
Soundgarden,Spoonman,0,246920,False,0.258,0.904,0.832,186.054,rock
Weezer,Records,4,208920,False,0.658,0.773,0.66,100.006,rock
Jaymes Young,I'll Be Good,0,247346,False,0.393,0.277,0.123,89.334,rock
Jimi Hendrix,Hear My Train a Comin',52,341800,False,0.371,0.634,0.568,84.977,rock
Bastille,Merry Xmas Everybody - For Nest Audio Sessions,0,193826,False,0.56,0.394,0.382,122.878,rock
Linkin Park,Waiting for the End,34,231680,False,0.487,0.961,0.324,170.005,rock
The Doobie Brothers,What a Fool Believes,0,219573,False,0.646,0.625,0.977,120.656,rock
Linkin Park,Iridescent (Version 2),35,239706,False,0.584,0.692,0.379,120.016,rock
The Beatles,Dear Prudence - Remastered 2009,59,235773,False,0.388,0.529,0.332,150.721,rock
The Exies,Stray,50,216386,False,0.185,0.779,0.263,159.076,rock
Rogers,Vergiss nie,35,218106,False,0.543,0.964,0.465,130.053,rock
Gerap Gurita,Di Puncak Hijau (Gerap Gurita Version),38,228376,False,0.648,0.922,0.947,107.499,rock
Submersed,Price Of Fame,50,234733,False,0.268,0.835,0.391,138.658,rock
Judas Priest,You've Got Another Thing Coming,67,310080,False,0.519,0.833,0.532,138.225,rock
Nirvana,Smells Like Teen Spirit,83,301920,False,0.502,0.912,0.72,116.761,rock
Karakoram;Faris Shafi;Talha Anjum,Ye Dunya,52,312337,False,0.535,0.665,0.322,75.033,rock
Soda Stereo,No Existes,40,283680,False,0.421,0.858,0.411,79.868,rock
División Minúscula,Control,40,260853,False,0.585,0.925,0.388,122.914,rock
Cream,I Feel Free - Remastered,0,172760,False,0.371,0.601,0.596,87.975,rock
AFI,Halloween,0,238106,False,0.286,0.929,0.127,99.762,rock
Surf Curse,Sugar,0,162880,False,0.606,0.696,0.68,121.347,rock
The Beatles,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,62,122893,False,0.451,0.673,0.583,95.513,rock
Smash Mouth,All Star,0,200373,False,0.731,0.867,0.776,104.02,rock
Kapelle Petra,Also stoßen wir an,37,235152,False,0.409,0.813,0.48,188.115,rock
Ramones,I Wanna Be Sedated,0,149466,False,0.598,0.96,0.937,163.011,rock
Weezer,We Wish You A Merry Christmas,0,84973,False,0.387,0.786,0.462,149.806,rock
Dead Fish,A Urgência,39,181333,False,0.519,0.97,0.187,97.836,rock
Stone Temple Pilots,Plush,1,310346,False,0.416,0.954,0.498,144.724,rock
Talking Heads,Psycho Killer - 2005 Remaster,1,261413,False,0.721,0.521,0.942,123.118,rock
Julieta Venegas,Limón y Sal,0,205213,False,0.625,0.653,0.605,110.972,rock
Linkin Park,BURN IT DOWN,75,230253,False,0.585,0.972,0.585,110.006,rock
La 25,Mil Canciones,46,372091,False,0.568,0.851,0.49,124.035,rock
The Neighbourhood,W.D.Y.W.F.M?,68,259413,False,0.557,0.845,0.508,123.997,rock
Drei Meter Feldweg,"Sommer, Sonne, Bier",36,218080,False,0.573,0.971,0.802,107.546,rock
Matanza,Eu Não Gosto de Ninguém,49,231760,False,0.41,0.951,0.61,164.088,rock
Josh A,Mixed Emotions,47,157432,False,0.634,0.602,0.405,186.238,rock
Slank,Mawar Merah,48,275620,False,0.454,0.593,0.41,93.052,rock
Lil' Kim,The Jump Off,0,234173,False,0.856,0.755,0.926,104.961,rock
Hoobastank,The Reason,1,232800,False,0.474,0.671,0.0682,82.94,rock
Lifehouse,You And Me,1,195493,False,0.459,0.427,0.357,139.898,rock
Eels,"I Need Some Sleep - From ""Shrek 2"" Soundtrack",0,148186,False,0.664,0.307,0.193,128.03,rock
All Time Low,Sleepwalking,67,187140,False,0.424,0.682,0.58,176.014,rock
Nirvana,About A Girl,74,166640,False,0.409,0.932,0.591,131.761,rock
La 25,Chico Común,47,271571,False,0.517,0.94,0.637,128.059,rock
Fountains Of Wayne,I Want An Alien For Christmas,0,141586,False,0.479,0.802,0.625,148.658,rock
Weezer,My Name Is Jonas,1,206120,False,0.261,0.947,0.552,185.942,rock
Black Veil Brides,In The End,71,228280,False,0.442,0.939,0.27,140.021,rock
PXNDX,Pasar Desapercibido,41,182773,False,0.296,0.947,0.573,176.043,rock
Los Prisioneros,Estrechez De Corazón,0,383573,False,0.66,0.742,0.46,130.271,rock
Asu Maralman,Bana Güzel Bir Şey Şöyle,28,206226,False,0.224,0.455,0.451,84.4,rock
Charly García,Reloj de Plastilina,36,281933,False,0.63,0.681,0.896,130.178,rock
Linkin Park,In the End,85,216880,False,0.556,0.864,0.4,105.143,rock
Planet Hemp,"Não Compre, Plante!",42,251493,False,0.652,0.78,0.656,112.68,rock
The Offspring,"You're Gonna Go Far, Kid",81,177826,True,0.55,0.917,0.601,126.115,rock
The Hillbilly Moon Explosion;Mark Philips,Jackson,29,185933,False,0.572,0.863,0.811,141.999,rock
Ashes Remain,On My Own,68,172960,False,0.361,0.871,0.575,176.026,rock
Last Child,Seharusnya,46,266546,False,0.583,0.736,0.446,111.982,rock
Rise Against,Making Christmas,39,206280,False,0.486,0.958,0.595,163.866,rock
The Score,Born For This,68,237375,False,0.411,0.675,0.545,130.134,rock
Os Mutantes,Vida De Cachorro,27,195066,False,0.341,0.415,0.273,154.849,rock
Patricio Rey y sus Redonditos de Ricota,Criminal Mambo,39,292706,False,0.338,0.596,0.314,96.923,rock
The Killers;Ryan Pardey,Don't Shoot Me Santa,0,245106,False,0.588,0.847,0.662,120.041,rock
Balance And Composure,Ella,29,89133,False,0.416,0.759,0.0643,107.953,rock
LCD Soundsystem;Soulwax,Get Innocuous! - Soulwax Remix,0,601240,False,0.667,0.997,0.693,117.999,rock
Pink Floyd,The Gunner's Dream,46,318239,False,0.428,0.284,0.169,132.667,rock
The Beatles,Penny Lane - Remastered 2009,63,180893,False,0.651,0.488,0.49,113.038,rock
MISSIO,Twisted,66,222706,False,0.577,0.789,0.149,97.52,rock
Get Dead,Fuck You,36,169266,True,0.608,0.917,0.936,117.875,rock
My Chemical Romance,Welcome to the Black Parade,79,311106,False,0.217,0.905,0.236,96.95,rock
Owl City;Carly Rae Jepsen,Good Time,0,205647,False,0.569,0.899,0.625,126.054,rock
The Servant,Orchestra,47,212226,False,0.519,0.834,0.465,77.028,rock
The Red Jumpsuit Apparatus,Your Guardian Angel,66,229234,False,0.29,0.48,0.382,112.62,rock
P.O.D.,Alive - Chris Lord-Alge Mix,0,205026,False,0.421,0.95,0.553,80.919,rock
GAYLE;The Wild,abc - The Wild Remix,0,182903,False,0.693,0.874,0.647,123.979,rock
Charly García,Yendo De La Cama Al Living,0,283760,False,0.659,0.433,0.572,80.115,rock
The Beatles,While My Guitar Gently Weeps,53,226756,False,0.417,0.163,0.216,122.61,rock
Fall Out Boy,The Last Of The Real Ones,60,230400,False,0.579,0.872,0.557,115.043,rock
Crystal Castles,Kerosene,6,192000,False,0.52,0.545,0.0856,115.882,rock
Silverchair,Satin Sheets,25,144333,False,0.345,0.844,0.384,161.465,rock
LIL DUSTY G,SQUASH,64,123445,False,0.703,0.653,0.414,148.02,rock
Charlie Brown Jr.,O Coro Vai Come - Ao Vivo,48,128106,False,0.511,0.981,0.896,172.968,rock
Iron Butterfly,In-A-Gadda-Da-Vida - Single Version,57,173986,False,0.472,0.526,0.771,119.44,rock
The Strokes,Reptilia,75,219826,False,0.489,0.649,0.77,158.009,rock
Panic! At The Disco,Local God,0,180797,False,0.379,0.849,0.584,146.841,rock
Tihuana,Comboio Do Terror,35,250826,False,0.527,0.948,0.777,147.991,rock
Mrs. GREEN APPLE,WanteD! WanteD!,0,217386,False,0.559,0.806,0.633,160.021,rock
Los Bunkers,Ángel Para Un Final,0,243160,False,0.259,0.654,0.452,181.893,rock
Mazzy Star,Flowers In December,3,297893,False,0.59,0.229,0.168,96.859,rock
Anberlin,"Christmas, Baby Please Come Home",0,162911,False,0.438,0.907,0.545,75.051,rock
Foo Fighters,Everlong,84,250546,False,0.413,0.881,0.364,158.066,rock
Charly García,Yendo De La Cama Al Living,0,283760,False,0.659,0.433,0.572,80.115,rock
Carajo,Chico Granada,42,214733,False,0.458,0.957,0.394,159.855,rock
Los Prisioneros,El Baile De Los Que Sobran,0,343701,False,0.818,0.621,0.642,117.343,rock
Lauren Daigle,Trust in You,66,211600,False,0.413,0.636,0.203,176.048,rock
Waterparks;blackbear,FUCK ABOUT IT (feat. blackbear),64,172375,True,0.489,0.868,0.457,158.114,rock
Kari Jobe,In The Name Of Love - Recorded At Spotify Studios NYC,2,205738,False,0.675,0.375,0.187,134.023,rock
Skillet,Comatose,67,230426,False,0.359,0.955,0.446,170.033,rock
Los Prisioneros,Muevan Las Industrias,0,248893,False,0.686,0.604,0.553,152.474,rock
ZZ Top,La Grange - 2005 Remaster,77,230480,False,0.545,0.64,0.606,80.544,rock
Sebastian Bach,By Your Side,50,327533,True,0.477,0.605,0.0779,143.099,rock
Mörbyligan,Snälla pappa,43,146173,False,0.425,0.795,0.963,197.956,rock
PHARAOH;White Punk,Unplugged 2: Love Kills,48,149296,True,0.586,0.534,0.101,89.969,rock
Closehead,Menjelang Hilang,39,216006,False,0.595,0.844,0.42,134.932,rock
Plebe Rude,Johnny Vai A Guerra (Outra Vez),35,210560,False,0.506,0.768,0.659,93.087,rock
Killing Me Inside,Forever,38,236120,False,0.227,0.484,0.209,79.98,rock
Cem Karaca,Kara Sevda,32,258626,False,0.367,0.756,0.84,93.913,rock
Swingin' Utters,Windspitting Punk,35,134800,False,0.284,0.959,0.665,174.296,rock
Promoting Sounds;Ron Grams,Shoot,50,173254,True,0.804,0.473,0.774,112.699,rock
Rybičky 48,Bohém zapomenutý dítě,38,222017,False,0.637,0.924,0.653,130.016,rock
Korn,Rotting in Vain,0,213000,True,0.498,0.946,0.31,106.276,rock
Skillet,Awake and Alive,69,209493,False,0.434,0.939,0.569,159.932,rock
blink-182,I Won't Be Home For Christmas,2,198093,False,0.347,0.942,0.66,200.025,rock
Charly García,Fantasy,36,179573,False,0.606,0.45,0.263,112.729,rock
Alter Bridge,Metalingus,67,259959,False,0.496,0.981,0.163,109.905,rock
Molotov,Payaso,45,230026,False,0.776,0.896,0.396,104.949,rock
Los Abuelos De La Nada,Sin Gamulán,0,195400,False,0.615,0.549,0.391,75.054,rock
The Kinks,Supersonic Rocket Ship,28,211578,False,0.612,0.42,0.874,150.125,rock
Måneskin,THE LONELIEST,85,247067,False,0.519,0.595,0.237,129.786,rock
Mahalia,BRB - Acoustic Version,0,152000,False,0.712,0.251,0.627,79.956,rock
Shinedown,45,28,249573,False,0.453,0.65,0.225,152.133,rock
Peter Frampton,Show Me The Way,68,243266,False,0.7,0.726,0.641,130.109,rock
Crumb,Recently Played,51,120454,False,0.57,0.334,0.124,112.015,rock
Misfits,Halloween,2,112426,False,0.382,0.937,0.0957,108.729,rock
NX Zero,Apenas um Olhar,35,200013,False,0.341,0.929,0.328,122.024,rock
KALEO,Way Down We Go,1,213706,False,0.492,0.506,0.338,163.522,rock
Scorpions,Always Somewhere (2015 - Remaster),35,297520,False,0.497,0.51,0.198,113.074,rock
XXXTENTACION,hate will never win,64,103986,True,0.556,0.425,0.676,89.385,rock
Pearl Jam,Even Flow,76,292580,False,0.394,0.944,0.265,105.338,rock
Charlie Brown Jr.,Proibida Pra Mim (Grazon),38,165240,False,0.574,0.934,0.921,163.742,rock
Fountains Of Wayne,The Man In The Santa Suit,0,160346,False,0.622,0.72,0.948,133.922,rock
The Beach Boys,Little Saint Nick - 1991 Remix,0,118840,False,0.602,0.553,0.971,130.594,rock
Foreigner,I Want to Know What Love Is - 1999 Remaster,79,304786,False,0.477,0.471,0.423,81.204,rock
Dead Fish,Sombras da Caverna,36,173720,False,0.419,0.947,0.454,133.005,rock
AC/DC,Touch Too Much,63,266266,False,0.524,0.906,0.605,123.1,rock
grandson,Blood // Water,0,214520,False,0.505,0.892,0.629,154.004,rock
Def Leppard,Photograph,68,247962,False,0.602,0.877,0.617,123.679,rock
Oliver Tree;Robin Schulz,Miss You,0,206000,True,0.587,0.742,0.199,145.007,rock
Plain White T's,"1, 2, 3, 4",41,198373,False,0.458,0.548,0.55,90.599,rock
The Offspring,"You're Gonna Go Far, Kid",81,177826,True,0.55,0.917,0.601,126.115,rock
Autoramas,Você Sabe,38,145893,False,0.313,0.953,0.813,156.419,rock
Panic! At The Disco,Don't Let the Light Go Out,9,229517,False,0.492,0.59,0.179,117.637,rock
Los Enanitos Verdes,Igual Que Ayer,0,290160,False,0.62,0.788,0.856,137.129,rock
Pee Wee Gaskins,Satir Sarkas,46,236564,False,0.508,0.861,0.586,150.004,rock
All Time Low,Blinding Lights,0,193151,False,0.449,0.886,0.61,171.016,rock
PXNDX,Aforismos,34,187173,False,0.389,0.933,0.661,143.994,rock
Third Eye Blind,Deep Inside of You,0,250293,False,0.508,0.558,0.16,81.599,rock
Soda Stereo,Primavera 0 - Remasterizado 2007,36,221680,False,0.382,0.707,0.158,134.015,rock
Rage Against The Machine,Killing In The Name,80,313573,True,0.466,0.833,0.661,88.785,rock
Rocket Rockers,Masih Banyak Hati Yang Menunggu,39,206448,False,0.469,0.914,0.721,89.995,rock
Eve 6,Jet Pack,29,213133,False,0.475,0.883,0.687,179.902,rock
The Beach Boys,Frosty The Snowman - 1991 Remix,0,114551,False,0.426,0.473,0.937,181.752,rock
Avenged Sevenfold,Hail to the King,0,305906,False,0.58,0.916,0.68,118.002,rock
blink-182,"Happy Holidays, You Bastard",0,42440,True,0.409,0.99,0.962,172.715,rock
All Time Low,Blinding Lights,0,193151,False,0.449,0.886,0.61,171.016,rock
Against The Current,Wildfire,56,166779,False,0.569,0.884,0.429,121.01,rock
Staind,Eyes Wide Open,0,210600,False,0.29,0.936,0.432,167.818,rock
The Offspring,Christmas (Baby Please Come Home),0,187355,False,0.437,0.878,0.623,128.043,rock
Fall Out Boy,The Kids Aren't Alright,60,260920,False,0.615,0.763,0.333,115.991,rock
Papa Roach,Last Resort,80,199906,True,0.589,0.89,0.692,90.598,rock
Jaymes Young;PRETTY YOUNG,Infinity - PRETTY YOUNG Remix,0,210500,False,0.543,0.595,0.338,122.052,rock
Drowning Pool,Mute,1,200000,False,0.567,0.815,0.378,97.937,rock
Mon Laferte;Enrique Bunbury,Mi Buen Amor,0,227586,False,0.403,0.533,0.283,98.741,rock
Red Hot Chili Peppers,Higher Ground - Remastered,1,202053,False,0.476,0.979,0.394,140.408,rock
Los Bunkers;Manuel García,Al Final De Este Viaje En La Vida,0,203146,False,0.512,0.607,0.668,63.25,rock
Nirvana,Scentless Apprentice,53,228053,False,0.31,0.83,0.617,170.568,rock
Nirvana,Negative Creep,58,175744,False,0.37,0.947,0.418,81.744,rock
GIT,Todo El Mundo Va Bailando Así,0,184693,False,0.692,0.441,0.586,80.071,rock
Bryan Adams,Christmas Time,0,243057,False,0.503,0.582,0.326,77.321,rock
The Jon Spencer Blues Explosion,Bellbottoms,55,317986,False,0.311,0.882,0.435,162.189,rock
Ruel,Hard Sometimes,65,269493,False,0.407,0.317,0.216,81.899,rock
Árbol,Pequeños Sueños - En Vivo,35,205891,False,0.559,0.784,0.527,117.478,rock
iamjakehill,go if you want to,49,165967,False,0.685,0.57,0.569,92.987,rock
Fairport Convention,Who Knows Where The Time Goes?,52,310173,False,0.522,0.0913,0.385,143.9,rock
Radiohead,Karma Police,76,264066,False,0.36,0.501,0.324,74.807,rock
